B01002_001E,B01003_001E,B17001_002E,B19013_001E,B19301_001E,NAME,zip code tabulation area
46.6,3059,377,49788,28804,ZCTA5 01225,01225
47,6981,756,51827,28082,ZCTA5 01226,01226
39.5,111,0,68125,24606,ZCTA5 01229,01229
47.1,8200,671,51467,35004,ZCTA5 01230,01230
45.2,3032,168,64420,28315,ZCTA5 01235,01235
42.8,1631,50,51964,29869,ZCTA5 01236,01236
41.5,2509,28,71932,36849,ZCTA5 01237,01237
45.3,6198,566,59477,33848,ZCTA5 01238,01238
52.7,4818,696,51464,37359,ZCTA5 01240,01240
57.3,155,3,55167,31279,ZCTA5 01242,01242
55.3,345,5,67411,35263,ZCTA5 01243,01243
60.3,150,20,29125,24298,ZCTA5 01244,01244
54,726,93,52500,37324,ZCTA5 01245,01245
41.3,16025,2565,41103,22181,ZCTA5 01247,01247
48.5,742,58,67917,36261,ZCTA5 01253,01253
54.3,997,24,95125,50182,ZCTA5 01254,01254
48,930,39,55917,29539,ZCTA5 01255,01255
44.6,675,49,56500,28533,ZCTA5 01256,01256
49.5,2183,327,50543,33690,ZCTA5 01257,01257
60.2,304,27,56607,41482,ZCTA5 01258,01258
51.8,613,20,70074,43844,ZCTA5 01259,01259
46.1,240,11,74615,25668,ZCTA5 01260,01260
49.7,1257,153,41648,33165,ZCTA5 01262,01262
69.6,167,39,70625,51626,ZCTA5 01264,01264
54.6,1433,61,76953,44493,ZCTA5 01266,01266
39.3,7985,369,72352,33717,ZCTA5 01267,01267
49.2,806,62,68456,32940,ZCTA5 01270,01270
42.9,17806,2619,48319,27354,ZCTA5 01301,01301
48.5,1540,98,72560,35226,ZCTA5 01330,01330
41,13383,1872,50498,23736,ZCTA5 01331,01331
49.2,2609,117,58875,31366,ZCTA5 01337,01337
52.1,169,5,69886,39439,ZCTA5 01338,01338
49.7,1597,236,50536,29981,ZCTA5 01339,01339
46.5,1784,187,49886,29025,ZCTA5 01340,01340
47.9,1605,91,77500,37209,ZCTA5 01341,01341
43.2,1506,74,99675,46508,ZCTA5 01342,01342
57.4,76,0,81806,38675,ZCTA5 01343,01343
39,1526,141,57500,24274,ZCTA5 01344,01344
54,448,49,65000,33809,ZCTA5 01346,01346
38.5,93,21,31250,16610,ZCTA5 01347,01347
52.1,844,137,50714,27191,ZCTA5 01349,01349
41.5,117,13,36875,23709,ZCTA5 01350,01350
45.5,2253,192,70799,34353,ZCTA5 01351,01351
47.8,1532,130,74583,34215,ZCTA5 01354,01354
42.1,990,69,68929,28963,ZCTA5 01355,01355
45.5,3033,135,60608,32021,ZCTA5 01360,01360
40.2,7960,984,45758,21734,ZCTA5 01364,01364
50.2,1294,92,76094,33059,ZCTA5 01366,01366
43.3,590,97,47279,26501,ZCTA5 01367,01367
43.7,1161,161,60750,27999,ZCTA5 01368,01368
47.9,4113,309,53516,29074,ZCTA5 01370,01370
46.4,4441,201,64127,31811,ZCTA5 01373,01373
26.9,3692,773,47000,28057,ZCTA5 01375,01375
41.9,5513,1308,39792,24108,ZCTA5 01376,01376
55.4,639,68,56094,33914,ZCTA5 01378,01378
50.3,957,141,48188,27732,ZCTA5 01379,01379
34.7,40358,7864,45363,22620,ZCTA5 01420,01420
42.4,6119,422,83532,34454,ZCTA5 01430,01430
44.8,3114,174,82778,33228,ZCTA5 01431,01431
43.3,7061,732,57543,34502,ZCTA5 01432,01432
39.6,1702,192,77396,14154,ZCTA5 01434,01434
42.4,3838,337,69076,27831,ZCTA5 01436,01436
51.9,359,132,62422,24617,ZCTA5 01438,01438
40.7,20388,2754,49067,23297,ZCTA5 01440,01440
43.6,10842,403,117127,48248,ZCTA5 01450,01450
46.8,4964,276,136058,60872,ZCTA5 01451,01451
44.6,4398,269,86979,33730,ZCTA5 01452,01452
41.2,41002,4239,58896,29382,ZCTA5 01453,01453
44.1,9038,295,105455,47502,ZCTA5 01460,01460
44.2,10549,862,76063,35866,ZCTA5 01462,01462
43.1,11645,583,81193,35689,ZCTA5 01463,01463
39,7435,837,65882,24469,ZCTA5 01464,01464
42.3,398,62,181810,57529,ZCTA5 01467,01467
44,3710,512,62096,28094,ZCTA5 01468,01468
40.4,7044,352,78985,34037,ZCTA5 01469,01469
43.6,7320,321,83840,34860,ZCTA5 01473,01473
44.6,1993,114,90521,37146,ZCTA5 01474,01474
44.3,10386,1048,58288,27204,ZCTA5 01475,01475
44,16089,581,73612,34644,ZCTA5 01501,01501
45.5,2886,71,95962,44297,ZCTA5 01503,01503
40.6,9035,427,74294,32488,ZCTA5 01504,01504
44.7,4366,106,97938,53378,ZCTA5 01505,01505
43.5,3382,190,61800,29391,ZCTA5 01506,01506
42.2,13034,553,93963,35678,ZCTA5 01507,01507
41.3,13634,1280,64723,31765,ZCTA5 01510,01510
42.7,2253,119,66042,30172,ZCTA5 01515,01515
39.8,8575,361,82831,36503,ZCTA5 01516,01516
42.6,2689,365,61719,33795,ZCTA5 01518,01518
39.1,6514,491,102300,44302,ZCTA5 01519,01519
42.3,14354,426,96780,41173,ZCTA5 01520,01520
43.6,2442,190,67684,32734,ZCTA5 01521,01521
41.3,3145,74,93238,38120,ZCTA5 01522,01522
39.2,7680,780,78283,28387,ZCTA5 01523,01523
39.3,6940,355,68899,29142,ZCTA5 01524,01524
32.7,145,0,44857,33626,ZCTA5 01525,01525
43,13264,696,71832,32329,ZCTA5 01527,01527
38.2,3197,304,82083,29546,ZCTA5 01529,01529
40.9,1053,67,82569,30961,ZCTA5 01531,01531
41.5,14529,533,108415,43878,ZCTA5 01532,01532
39,5299,30,85000,36653,ZCTA5 01534,01534
42.1,4706,308,54439,27452,ZCTA5 01535,01535
40.3,7042,559,76063,37846,ZCTA5 01536,01536
40,2458,287,72607,30326,ZCTA5 01537,01537
40.3,11148,593,68986,29658,ZCTA5 01540,01540
43.8,3424,162,120607,42921,ZCTA5 01541,01541
45.4,1782,84,74273,31085,ZCTA5 01542,01542
40.3,8075,343,86482,33229,ZCTA5 01543,01543
39.2,35575,1740,92360,40098,ZCTA5 01545,01545
37.5,16741,2828,42471,21579,ZCTA5 01550,01550
32.8,4531,286,81667,35305,ZCTA5 01560,01560
22.7,174,0,19637,15914,ZCTA5 01561,01561
39.1,11733,1203,60197,28983,ZCTA5 01562,01562
44.2,7839,392,98872,40536,ZCTA5 01564,01564
43.2,6617,396,82750,37893,ZCTA5 01566,01566
41.2,7431,476,105208,42387,ZCTA5 01568,01568
40.9,13559,723,86164,35249,ZCTA5 01569,01569
41.4,16782,2456,47885,26411,ZCTA5 01570,01570
37.2,11445,837,70590,28240,ZCTA5 01571,01571
40.4,18371,713,100905,45929,ZCTA5 01581,01581
38.9,7698,293,72107,30780,ZCTA5 01583,01583
45.7,4646,466,62667,31262,ZCTA5 01585,01585
39.2,10350,776,62649,29244,ZCTA5 01588,01588
41.7,8943,302,110658,42341,ZCTA5 01590,01590
40,23707,2597,62832,31101,ZCTA5 01602,01602
36.1,19385,3971,48183,22315,ZCTA5 01603,01603
35.9,34720,5523,49797,27119,ZCTA5 01604,01604
32.3,27279,7142,37705,21639,ZCTA5 01605,01605
39.5,19495,1552,66912,32781,ZCTA5 01606,01606
34.4,8957,1626,45152,24044,ZCTA5 01607,01607
27.2,3558,1896,19418,11315,ZCTA5 01608,01608
26.9,21178,4433,40660,23846,ZCTA5 01609,01609
25.6,23964,7918,30532,14040,ZCTA5 01610,01610
39.3,2481,80,67179,33179,ZCTA5 01611,01611
41.3,4856,224,106708,35979,ZCTA5 01612,01612
43.6,31435,1649,86994,39361,ZCTA5 01701,01701
33.5,38020,5709,53944,29023,ZCTA5 01702,01702
38.9,343,0,132981,62059,ZCTA5 01718,01718
43.7,5048,135,101502,61461,ZCTA5 01719,01719
41.9,21804,535,109578,53152,ZCTA5 01720,01720
44,16792,809,93233,45834,ZCTA5 01721,01721
43.9,13649,538,108818,48886,ZCTA5 01730,01730
17.7,1717,85,75446,22388,ZCTA5 01731,01731
43.1,4967,138,146029,55369,ZCTA5 01740,01740
48.2,4918,275,160034,77585,ZCTA5 01741,01741
45.9,18586,734,135217,68920,ZCTA5 01742,01742
50.2,305,0,57250,40472,ZCTA5 01745,01745
42.4,13811,523,110323,46206,ZCTA5 01746,01746
41.5,5928,116,89408,38747,ZCTA5 01747,01747
39.5,15271,321,129578,56899,ZCTA5 01748,01748
42.8,19263,1254,71971,35713,ZCTA5 01749,01749
39.5,38842,2785,70304,35335,ZCTA5 01752,01752
41.7,10211,797,77622,39447,ZCTA5 01754,01754
43,5851,95,105389,41740,ZCTA5 01756,01756
38.2,28252,2914,66547,32180,ZCTA5 01757,01757
41.6,33353,1433,95328,50239,ZCTA5 01760,01760
45.5,4169,112,153444,73420,ZCTA5 01770,01770
42.1,9502,295,150129,63375,ZCTA5 01772,01772
48.5,4836,142,149539,75535,ZCTA5 01773,01773
42.2,6737,184,115714,47880,ZCTA5 01775,01775
42.9,17922,266,170924,72744,ZCTA5 01776,01776
46.7,13280,486,130022,68811,ZCTA5 01778,01778
39.7,38961,2407,75138,35354,ZCTA5 01801,01801
41.8,24700,1102,94272,41119,ZCTA5 01803,01803
42.7,33746,1404,112681,52275,ZCTA5 01810,01810
40.4,30591,1926,87996,35975,ZCTA5 01821,01821
43.4,24673,747,104538,44267,ZCTA5 01824,01824
40.3,29968,1288,78169,32690,ZCTA5 01826,01826
44.2,3255,40,119022,48133,ZCTA5 01827,01827
39,25687,3609,55255,29567,ZCTA5 01830,01830
38.5,22121,2412,57833,29014,ZCTA5 01832,01832
42.4,8295,191,107775,43297,ZCTA5 01833,01833
46.1,6675,146,97463,40222,ZCTA5 01834,01834
37.1,13527,1153,72228,31429,ZCTA5 01835,01835
36.8,4547,1798,18261,14758,ZCTA5 01840,01840
29.6,47676,14334,31214,15117,ZCTA5 01841,01841
32.6,24597,6018,42891,21024,ZCTA5 01843,01843
39.9,47690,4022,67556,30520,ZCTA5 01844,01844
41,28677,1499,96002,46788,ZCTA5 01845,01845
32,15496,3095,51538,22503,ZCTA5 01850,01850
33.5,29791,4903,51630,22714,ZCTA5 01851,01851
