Reg	St	Site Name                                                                		Site ID	EPA ID	Address	City	Zip	County			FF?	Latitude	Longitude	Final Date
?01?	NH	TINKHAM GARAGE		?0101106?	NHD062004569	RTE 102 	LONDONDERRY	03053	ROCKINGHAM			N	?+42.860830?	?-071.351110? 	9/8/1983
?01?	NH	TROY MILLS LANDFILL		?0101127?	NHD980520217	OFF ROCKWOOD POND ROAD 	TROY	03465	CHESHIRE			N	?+42.802580?	?-072.186940? 	9/29/2003
?01?	RI	CENTRAL LANDFILL		?0101277?	RID980520183	65 SHUN PIKE 	JOHNSTON	02919	PROVIDENCE			N	?+41.808330?	?-071.534710? 	6/10/1986
?01?	RI	CENTREDALE MANOR RESTORATION PROJECT		?0101388?	RID981203755	2072 AND 2074 SMITH STREET (ROUTE 44) 	NORTH PROVIDENCE	02911	PROVIDENCE			N	?+41.857660?	?-071.487250? 	2/4/2000
?01?	RI	DAVIS LIQUID WASTE		?0101283?	RID980523070	TARKILN RD 	SMITHFIELD	02828	PROVIDENCE			N	?+41.922210?	?-071.577760? 	9/8/1983
?01?	RI	DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER		?0101430?	RI6170022036	OFF SANFORD RD. 	NORTH KINGSTOWN	02818	WASHINGTON			Y	?+41.609500?	?-071.474220? 	11/21/1989
?01?	RI	"LANDFILL & RESOURCE RECOVERY, INC. (L&RR)"		?0101265?	RID093212439	OXFORD RD 	NORTH SMITHFIELD	02876	PROVIDENCE			N	?+41.979500?	?-071.589000? 	9/8/1983
?01?	RI	NEWPORT NAVAL EDUCATION & TRAINING CENTER		?0101431?	RI6170085470	DEFENSE HIGHWAY (BURMA RD.) 	NEWPORT	02871	NEWPORT			Y	?+41.564450?	?-071.293460? 	11/21/1989
?01?	RI	"PETERSON/PURITAN, INC."		?0101247?	RID055176283	MARTIN ST 	LINCOLN/CUMBERLAND	02864	PROVIDENCE			N	?+41.929580?	?-071.426800? 	9/8/1983
?01?	RI	PICILLO FARM		?0101284?	RID980579056	PERRY HILL RD 	COVENTRY	02816	KENT			N	?+41.671660?	?-071.709160? 	9/8/1983
?01?	RI	ROSE HILL REGIONAL LANDFILL		?0101279?	RID980521025	ROSE HILL RD 	SOUTH KINGSTOWN	02880	WASHINGTON			N	?+41.470830?	?-071.491660? 	10/4/1989
?01?	RI	"STAMINA MILLS, INC."		?0101291?	RID980731442	MAIN ST 	NORTH SMITHFIELD	02824	PROVIDENCE			N	?+41.996400?	?-071.564700? 	9/8/1983
?01?	RI	WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA		?0101322?	RID981063993	PLAINS ROAD 	SOUTH KINGSTOWN	02881	WASHINGTON			N	?+41.496660?	?-071.535270? 	10/14/1992
?01?	RI	WESTERN SAND & GRAVEL		?0101233?	RID009764929	DOUGLAS PIKE 	BURRILLVILLE	02895	PROVIDENCE			N	?+41.972700?	?-071.595000? 	9/8/1983
?01?	VT	BENNINGTON MUNICIPAL SANITARY LANDFILL		?0101493?	VTD981064223	OFF HOUGHTON LANE 	BENNINGTON	05201	BENNINGTON			N	?+42.922210?	?-073.197780? 	3/31/1989
?01?	VT	BFI SANITARY LANDFILL (ROCKINGHAM)		?0101475?	VTD980520092	RTE 5 	ROCKINGHAM	05101	WINDHAM			N	?+43.226380?	?-072.439710? 	10/4/1989
?01?	VT	BURGESS BROTHERS LANDFILL		?0101450?	VTD003965415	RTE 9 	WOODFORD	05201	BENNINGTON			N	?+42.878060?	?-073.150130? 	3/31/1989
?01?	VT	COMMERCE STREET PLUME		?0101470?	VTD098352545	15 COMMERCE AVENUE 	WILLISTON	05495	CHITTENDEN			N	?+44.452580?	?-073.121380? 	4/27/2005
?01?	VT	ELIZABETH MINE		?0102071?	VTD988366621	MINE ROAD 	STRAFFORD	05070	ORANGE			N	?+43.823880?	?-072.328880? 	6/14/2001
?01?	VT	ELY COPPER MINE		?0102065?	VTD988366571	TOWN HIGHWAY 38 	VERSHIRE	05079	ORANGE			N	?+43.927440?	?-072.285500? 	9/13/2001
?01?	VT	"JARD COMPANY, INC."		?0102282?	VTD048141741	259 BOWEN ROAD 	BENNINGTON	05201	BENNINGTON			N	?+42.888861?	?-73.189111? 	9/22/2014
?01?	VT	OLD SPRINGFIELD LANDFILL		?0101437?	VTD000860239	WILL DEAN RD 	SPRINGFIELD	05156	WINDSOR			N	?+43.272780?	?-072.466660? 	9/8/1983
?01?	VT	PARKER SANITARY LANDFILL		?0101491?	VTD981062441	LILY POND RD. 	LYNDON	05849	CALEDONIA			N	?+44.518610?	?-071.989430? 	2/21/1990
?01?	VT	PIKE HILL COPPER MINE		?0102121?	VTD988366720	PIKE HILL ROAD 	CORINTH	05039	ORANGE			N	?+44.057330?	?-072.306910? 	7/22/2004
?01?	VT	PINE STREET CANAL		?0101479?	VTD980523062	PINE STREET 	BURLINGTON	05401	CHITTENDEN			N	?+44.466660?	?-073.218060? 	9/8/1983
?01?	VT	POWNAL TANNERY		?0101463?	VTD069910354	ROUTE 346 	POWNAL	05261	BENNINGTON			N	?+42.797160?	?-073.265750? 	1/19/1999
?02?	NJ	A. O. POLYMER		?0200290?	NJD030253355	F4 STATION ROAD 	SPARTA TOWNSHIP	07871	SUSSEX			N	?+41.048050?	?-074.630000? 	9/8/1983
?02?	NJ	AMERICAN CYANAMID CO		?0200144?	NJD002173276	EASTON TURNPIKE 	BOUND BROOK	08805	SOMERSET			N	?+40.555560?	?-074.559450? 	9/8/1983
?02?	NJ	ATLANTIC RESOURCES		?0201116?	NJD981558430	120 HORSESHOE ROAD 	SAYREVILLE	08872	MIDDLESEX			N	?+40.486110?	?-074.319440? 	9/5/2002
?02?	NJ	BOG CREEK FARM		?0200397?	NJD063157150	SQUANRUM RD. (MONMOUTH CO. RT. 547) 	HOWELL TOWNSHIP	07727	MONMOUTH			N	?+40.150830?	?-074.161110? 	9/8/1983
?02?	NJ	BRICK TOWNSHIP LANDFILL		?0200540?	NJD980505176	SALLY IKE ROAD 	BRICK TOWNSHIP	08723	OCEAN			N	?+40.109800?	?-074.131100? 	9/8/1983
?02?	NJ	BRIDGEPORT RENTAL & OIL SERVICES		?0200364?	NJD053292652	CEDAR SWAMP RD 	BRIDGEPORT	08014	GLOUCESTER			N	?+39.801660?	?-075.321660? 	9/8/1983
?02?	NJ	BROOK INDUSTRIAL PARK		?0200450?	NJD078251675	100 WEST MAIN STREET 	BOUND BROOK	08805	SOMERSET			N	?+40.560130?	?-074.536110? 	10/4/1989
?02?	NJ	BURNT FLY BOG		?0200528?	NJD980504997	TYLERS LANE 	MARLBORO TOWNSHIP	07746	MONMOUTH			N	?+40.375000?	?-074.279160? 	9/8/1983
?02?	NJ	CALDWELL TRUCKING CO.		?0200340?	NJD048798953	222 PASSAIC AVENUE 	FAIRFIELD	07004	ESSEX			N	?+40.876380?	?-074.271380? 	9/8/1983
?02?	NJ	CHEMICAL CONTROL		?0200037?	NJD000607481	23 SOUTH FRONT ST 	ELIZABETH	07202	UNION			N	?+40.643200?	?-074.193500? 	9/8/1983
?02?	NJ	CHEMICAL INSECTICIDE CORP.		?0200517?	NJD980484653	30 WHITMAN AV 	EDISON TOWNSHIP	08817	MIDDLESEX			N	?+40.527400?	?-074.368000? 	8/30/1990
?02?	NJ	"CHEMICAL LEAMAN TANK LINES, INC."		?0200327?	NJD047321443	CEDAR SWAMP & COOPER RDS 	BRIDGEPORT	08014	GLOUCESTER			N	?+39.798330?	?-075.332780? 	9/21/1984
?02?	NJ	"CHEMSOL, INC."		?0200607?	NJD980528889	FLEMING ST 	PISCATAWAY	08854	MIDDLESEX			N	?+40.562500?	?-074.443330? 	9/8/1983
?02?	NJ	CIBA-GEIGY CORP.		?0200078?	NJD001502517	RTE #37 	TOMS RIVER	08753	OCEAN			N	?+39.986700?	?-074.236300? 	9/8/1983
?02?	NJ	CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION		?0200995?	NJD980785638	1017 UNION LANDING ROAD 1017 UNION LANDING ROAD	CINNAMINSON TOWNSHIP	08077	BURLINGTON			N	?+40.017500?	?-074.986200? 	6/10/1986
?02?	NJ	COMBE FILL SOUTH LANDFILL		?0200489?	NJD094966611	PARKER ROAD- BOX 418 	CHESTER TOWNSHIP	07930	MORRIS			N	?+40.771660?	?-074.738330? 	9/8/1983
?02?	NJ	CORNELL DUBILIER ELECTRONICS INC.		?0201112?	NJD981557879	333 HAMILTON BLVD 	SOUTH PLAINFIELD	07080	MIDDLESEX			N	?+40.576380?	?-074.414160? 	7/28/1998
?02?	NJ	COSDEN CHEMICAL COATINGS CORP.		?0200022?	NJD000565531	CHERRY STREET 	BEVERLY	08010	BURLINGTON			N	?+40.058180?	?-074.925890? 	7/22/1987
?02?	NJ	CPS/MADISON INDUSTRIES		?0200109?	NJD002141190	WATERWORKS ROAD 	OLD BRIDGE TOWNSHIP	08857	MIDDLESEX			N	?+40.434430?	?-074.327760? 	9/8/1983
?02?	NJ	"CURCIO SCRAP METAL, INC."		?0200273?	NJD011717584	416 LANZA AVE 	SADDLE BROOK TWP	07662	BERGEN			N	?+40.890700?	?-074.103500? 	7/22/1987
?02?	NJ	"CURTIS SPECIALTY PAPERS, INC"		?0203733?	NJD057143984	404 FRENCHTOWN ROAD 	MILFORD	08848	HUNTERDON			N	?+40.560128?	?-075.08? 	9/23/2009
